,OV_CONTROL_1,OV_CONTROL_2,OV_RCCD1OE_1,OV_RCCD1OE_1,BR_CONTROL_1,BR_CONTROL_1,BR_RCCD1OE_1,BR_RCCD1OE_2,BR_CONTROL_3,BR_CONTROL_4,BR_RCCD1OE_3,BR_RCCD1OE_4
ENSG00000135617.3_PRADC1,309,329,302,180,707,485,475,362,669,627,553,818
ENSG00000135622.12_SEMA4F,891,1055,1067,784,681,419,478,392,744,571,493,748
ENSG00000135624.15_CCT7,10916,12951,13391,10194,28447,22456,24323,20483,31125,26297,22770,26878
ENSG00000135625.7_EGR4,0,0,0,0,7,5,3,3,5,8,3,6
ENSG00000135631.15_RAB11FIP5,2972,3912,4784,3007,3203,2164,1904,1481,2770,2525,2011,2632
ENSG00000135632.11_SMYD5,1151,1389,1593,1163,1788,1425,1586,1298,2038,1839,1454,2032
ENSG00000135636.13_DYSF,4374,5915,6234,3885,700,490,440,353,485,433,383,479
ENSG00000135637.13_CCDC142,144.55,179.64,376,246,337,198.23,331,314,272,253.22,199,310.14
ENSG00000135638.13_EMX1,132,170,60,23,2,0,0,0,3,0,0,0
ENSG00000135643.4_KCNMB4,214,250,112,111,19,27,16,14,9,11,8,7
ENSG00000135655.13_USP15,2167,2429,2352,2277,2220,1956,1425,1310,2576,1890,1804,2199
ENSG00000135677.10_GNS,11350,13633,11884,10286,5064,3851,4631,3715,2671,2212,2532,3500
ENSG00000135678.11_CPM,65,81,184,146,142,100,159,128,78,70,61,84
ENSG00000135679.21_MDM2,2628,3101,7841,7722,10122,9810,13437,11373,6275,5078,4813,5536
ENSG00000135686.12_KLHL36,1253,1546,1759,1382,1272,814,989,747,804,761,662,777
ENSG00000135697.9_BCO1,17,15,32,29,1,0,0,0,2,1,0,0
ENSG00000135698.9_MPHOSPH6,655,673,547,610,1763,1487,1348,1063,1565,1051,1088,1258
ENSG00000135702.14_CHST5,0,0,3,1,2.85,2,4,5.49,0,4,0,0.4
ENSG00000135709.12_KIAA0513,469,584,1127,659,988,608,633,473,827,710,621,734
ENSG00000135720.12_DYNC1LI2,4922,6142,7988,7600,4873,4004,5550,4910,4608,3939,3910,4688
ENSG00000135722.8_FBXL8,42,56,110.43,51.01,105.02,47,111,79.7,41.08,36,35,49
ENSG00000135723.13_FHOD1,886,1101,1175.38,730.51,2727.81,1719,2879.42,2308.74,2100.33,1938.45,1938,2253.28
ENSG00000135736.5_CCDC102A,185,244,467,264,281,216,221,151,253,237,208,151
ENSG00000135740.16_SLC9A5,51,82,159.62,110.49,194.19,114,213.58,180.26,96.67,112.55,93,155.72
ENSG00000135744.7_AGT,17,17,2,2,57,47,27,17,48,58,15,41
ENSG00000135747.11_ZNF670,3.01,5.04,1.04,6.11,21.91,19.5,21.73,36.32,58.08,37.21,29.24,30.59
ENSG00000135749.18_PCNXL2,757.21,988.25,1681.17,1363.29,1137.19,875.01,950.68,788.86,790.39,695.82,576.29,652.09
ENSG00000135750.14_KCNK1,545,633,792,611,1400,1031,1119,858,1614,1433,1300,1534
ENSG00000135763.9_URB2,719,902,681,546,1993,1317,1349,1148,2025,1836,1590,2159
ENSG00000135766.8_EGLN1,1953,2147,2494,2322,2891,2380,1899,1542,2520,2003,1718,2101
ENSG00000135773.12_CAPN9,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000135775.13_COG2,657,789,1054,845,2087,1589,1650,1403,1571,1371,1290,1472
ENSG00000135776.4_ABCB10,752,874,648,638,1740,1154,1326,1194,1591,1257,1194,1750
ENSG00000135778.11_NTPCR,900.79,1024.75,1648.83,1494.71,2840.81,1920.99,2312.32,2000.14,1424.61,1402.18,1224.71,1686.91
ENSG00000135801.9_TAF5L,1170,1414,1171,848,2158,1643,1829,1545,2235,1980,1690,2233
ENSG00000135821.16_GLUL,3215,3970,4191,3100,14824,10723,11134,9084,8301,7939,6087,6964
ENSG00000135823.13_STX6,2072,2278,2536,2350,3077,2323,2512,2001,3757,3121,2644,3347
ENSG00000135824.12_RGS8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000135828.11_RNASEL,635,826,608,494,341,285,334,284,454,352,402,416
ENSG00000135829.16_DHX9,9174,10992,10530,9015,21180,17422,16650,14886,24293,19112,17339,22463
ENSG00000135835.10_KIAA1614,171,266,257,123,124,78,116,112,86,33,52,47
ENSG00000135837.15_CEP350,1452,1946,2223,2203,3786,2980,3257,2897,3024,2485,2629,2947
ENSG00000135838.13_NPL,38,57,37,20,522,393,395,346,396,308,307,379
ENSG00000135842.16_FAM129A,3953,4953,6949,6148,29,35,19,19,30,27,21,36
ENSG00000135845.9_PIGC,732,741,780,723,995,688,813,629,964,817,768,1111
ENSG00000135862.5_LAMC1,33409,44044,39335,32496,25621,20901,25133,21137,12507,10866,12077,14342
ENSG00000135870.11_RC3H1,859,1020,1470,1348,1525,1445,1722,1586,1874,1420,1289,1539
ENSG00000135898.9_GPR55,5,5,3,3,1,1,1,0,4,4,1,0
ENSG00000135899.16_SP110,1021.56,1344.32,3370.32,2946.39,616.7,506.62,467.18,342.83,522.36,479.83,418.02,607.92
ENSG00000135900.3_MRPL44,869,1065,1292,907,1299,1117,1057,851,1534,1438,1278,1485
ENSG00000135902.9_CHRND,0,0,0,0,1,0,1,0,0,0,0,0
ENSG00000135903.18_PAX3,4,6,73,53,0,0,0,0,0,0,0,1
ENSG00000135905.18_DOCK10,648,807,349,320,223,206,208,184,269,213,143,189
ENSG00000135912.10_TTLL4,501,691,1049,852,783,585,771,621,1001,965,874,1099
ENSG00000135913.10_USP37,552.8,673.28,784.64,799.23,579,476.36,675,602.1,765.82,534.24,541,744
ENSG00000135914.5_HTR2B,1.28,2.55,0,2.53,0,0,0,0,6,0,4,1.28
ENSG00000135916.15_ITM2C,1691,2035,2776,1729,5512,3599,3626,3037,3606,3122,2962,3825
ENSG00000135917.13_SLC19A3,18,21,110,79,2,2,3,4,3,3,1,1
ENSG00000135919.12_SERPINE2,898,1060,936,785,17567,16319,17529,15300,2826,2443,5044,5810
ENSG00000135924.15_DNAJB2,3441,4211,4918,3042,1545,976,1116,760,1942,1730,1369,1605
ENSG00000135925.8_WNT10A,1578,1927,3802,2379,71,52,32,18,116,98,109,102
ENSG00000135926.12_TMBIM1,6373,8140,9148,6558,8193,6540,6085,4908,11839,10842,8976,11004
ENSG00000135929.8_CYP27A1,167,176,274,167,81,43,63,33,53,33,42,39
ENSG00000135930.13_EIF4E2,3764.06,4165.54,4407.76,3816.79,2594.29,2025.13,2232.39,1953.77,2077.49,1913.77,1946.6,2333.09
ENSG00000135931.17_ARMC9,1605,1885,1846,1395,606,458,516,437,375,312,299,365
ENSG00000135932.10_CAB39,3149,3706,3267,3219,6146,5627,5885,5070,8731,6940,6298,7011
ENSG00000135940.6_COX5B,1240,1195,1026,627,3797,2553,1965,1619,4061,3239,2755,3451
ENSG00000135945.9_REV1,853.47,827.51,1055.16,962.12,1211.13,935.66,1155.53,1038.71,1222.41,958.08,913.23,1228.42
ENSG00000135951.14_TSGA10,109,133,183,154,210,156,174,151,221,163,118,170
ENSG00000135953.10_MFSD9,511,624,677,581,623,482,502,484,714,574,489,670
ENSG00000135956.8_TMEM127,3600,4509,4775,3174,3533,2987,3069,2522,3676,3514,2673,3286
ENSG00000135960.9_EDAR,1,1,0,1,5,5,3,3,6,3,6,3
ENSG00000135966.12_TGFBRAP1,1099,1345,1742,1343,2184,1541,1536,1266,1763,1626,1331,1616
ENSG00000135968.19_GCC2,1748.46,2268.29,1837.25,1892.68,3138.7,3067.18,3377.21,2836.51,2326.68,1841.38,1944.34,1972.85
ENSG00000135972.8_MRPS9,1500,1741,1794,1605,2217,1957,2029,1651,2625,2242,1938,1911
ENSG00000135973.2_GPR45,0,0,6,2,0,0,0,0,0,0,2,0
ENSG00000135974.9_C2orf49,621,651,992,940,1076,958,1070,972,1329,1077,880,1058
ENSG00000135976.16_ANKRD36,252.65,360.76,522.74,601.23,238.32,190.04,557,532.16,270.86,115.62,137.38,201.1
ENSG00000135999.11_EPC2,996,1255,1388,1289,1331,1260,1479,1178,1311,1111,1027,1103
ENSG00000136002.16_ARHGEF4,23,43,30,13,1854,1352,1265,1109,1521,1370,1072,1164
ENSG00000136003.15_ISCU,1626,1702,2223,1910,2290,1928,1912,1606,1692,1390,1451,1732
ENSG00000136010.13_ALDH1L2,60,61,73,74,1216,1145,922,788,993,894,735,849
ENSG00000136011.14_STAB2,0,3,3,1,3,0,7,8,0,1,5,2
ENSG00000136014.11_USP44,74,112,176,180,0,0,4,1,0,0,0,3
ENSG00000136021.17_SCYL2,2857,3360,3330,3342,1611,1607,1485,1272,2209,1552,1494,1754
ENSG00000136026.13_CKAP4,9768,11258,19539,14935,6361,5302,5677,4738,5274,4717,5061,4737
ENSG00000136040.8_PLXNC1,106.92,107,108,92,47.18,23,36,34.06,24,40,17,26
ENSG00000136044.11_APPL2,963,1205,1029,1014,669,562,561,549,568,581,550,619
ENSG00000136045.11_PWP1,2626,2973,2707,2277,3377,2758,2386,2119,3693,2889,2574,3273
ENSG00000136048.13_DRAM1,11086,12131,19309,17631,1122,811,738,695,656,502,557,855
ENSG00000136051.13_KIAA1033,2644,2990,3395,3666,2148,1885,1830,1628,2273,1596,1665,1948
ENSG00000136052.9_SLC41A2,2345,2660,1536,1405,207,178,149,128,294,211,263,307
ENSG00000136059.14_VILL,59,92,166,96,140,87,83,31,288,314,197,299
ENSG00000136068.14_FLNB,43727,61416,46296,31803,47607,32656,29389,24735,51155,45532,45569,57593
ENSG00000136098.16_NEK3,243,257,220,236,471,367,401,322,402,356,381,418
ENSG00000136099.13_PCDH8,0,0,0,0,0,0,0,0,0,2,1,1
ENSG00000136100.12_VPS36,2590,3034,2153,2111,1891,1724,1875,1597,2095,1739,1981,2280
ENSG00000136104.18_RNASEH2B,486,445,407,390,873,698,711,625,940,739,681,1028
ENSG00000136108.14_CKAP2,2684,3149,3842,3813,4293,4303,6148,5474,5111,4126,4125,4358
ENSG00000136110.12_LECT1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136111.12_TBC1D4,979,1178,1552,1501,1203,804,1007,920,1599,1281,1130,1684
ENSG00000136114.15_THSD1,779,903,874,638,671,430,565,458,564,485,434,638
ENSG00000136122.15_BORA,247.58,255.23,359.15,362.83,777.38,714.67,844.11,758.67,900.51,678.15,674.52,757.89
ENSG00000136141.14_LRCH1,1139,1409,1159,970,854,714,952,768,1204,1036,938,1111
ENSG00000136143.13_SUCLA2,1709,1834,2054,1979,2438,1906,1729,1470,3155,2223,2404,3676
ENSG00000136144.11_RCBTB1,998,1255,1312,1230,982,738,978,825,805,617,653,862
ENSG00000136146.14_MED4,1355,1556,1512,1617,1625,1534,1714,1481,2205,1848,1725,2032
ENSG00000136147.16_PHF11,682,679,1093,1116,371,302,390,316,475,369,387,393
ENSG00000136152.14_COG3,1124,1300,1441,1391,1360,1233,1244,1190,2107,1627,1593,1861
ENSG00000136153.19_LMO7,3997,5307,3471,3321,1297,1205,1675,1470,2686,2309,1601,1461
ENSG00000136155.16_SCEL,1,5,1,1,319,368,42,36,4181,2678,2193,2438
ENSG00000136156.12_ITM2B,18950,20089,21276,19946,3627,3555,4198,3461,3214,2807,2979,3441
ENSG00000136158.10_SPRY2,1018,1204,467,368,913,650,777,621,791,681,682,844
ENSG00000136159.3_NUDT15,1068,1202,1308,1325,1620,1527,1573,1441,2557,1837,1874,1995
ENSG00000136160.14_EDNRB,151,175,162,161,70,64,123,74,26,19,26,35
ENSG00000136161.12_RCBTB2,434,493,530,464,148,141,130,125,105,77,96,149
ENSG00000136167.13_LCP1,223,249,100,84,4452,3560,3924,3323,10520,8897,6288,8137
ENSG00000136169.16_SETDB2,243,213,409,416,420,358,462,351,547,391,399,454
ENSG00000136193.16_SCRN1,8890,10697,13291,11223,8150,6940,6991,5986,9652,7838,7218,8908
ENSG00000136197.12_C7orf25,97.77,128.91,129.65,133.25,86.81,82.14,81.3,60.99,138.23,145.76,104.38,79.03
ENSG00000136205.16_TNS3,1930,2812,3103,2042,11762,7720,8809,6908,4873,4329,5139,6414
ENSG00000136206.3_SPDYE1,5,10,17.03,7.06,5,0,12.92,28.82,8,11,4,4
ENSG00000136213.9_CHST12,394,500,793,501,757,508,602,450,585,506,483,509
ENSG00000136231.13_IGF2BP3,1404,1595.58,2437.12,2310.75,2178.87,2135.72,2508.84,2231.39,2585.5,2122.19,1875.04,1986.99
ENSG00000136235.15_GPNMB,1642,1805,130,96,70,70,34,40,42,34,27,26
ENSG00000136237.18_RAPGEF5,5,4,9,1,216,194,97,75,600,510,338,477
ENSG00000136238.17_RAC1,11625,12364,13932,12639,13587,11415,13669,11765,13325,12535,12267,14196
ENSG00000136240.9_KDELR2,6981,8336,10497,9209,10934,7903,8829,7407,8077,7153,7386,9607
ENSG00000136243.16_NUPL2,397,481,607,559,1421,1368,1366,1122,2102,1625,1426,1801
ENSG00000136244.11_IL6,3472,3995,5850,4579,772,739,314,245,388,359,296,280
ENSG00000136247.14_ZDHHC4,288,318,254,224,3058,1835,1575,1325,1989,1509,1436,2329
ENSG00000136250.11_AOAH,0,1,9,3,15,6,11,2,0,1,2,1
ENSG00000136261.14_BZW2,2022,2175,1942,1745,5449,3814,3875,3450,5658,5011,4379,6291
ENSG00000136267.13_DGKB,1,1,2,1,0,0,0,0,1,0,0,0
ENSG00000136270.13_TBRG4,1198,1480,1992,1064,7522,4437,4261,3392,8409,7092,5834,7578
ENSG00000136271.10_DDX56,1330,1526,2084,1539,6088,3731,4649,4010,5268,4961,4261,6027
ENSG00000136273.11_HUS1,471,571,616,556,861,707,772,618,1136,911,907,1265
ENSG00000136274.8_NACAD,1161,1658,1397,876,197,164,221,156,59,71,37,50
ENSG00000136279.18_DBNL,3164,4015,4151,2376,5721,3718,4365,3424.83,6475.89,5661,4840,5624
ENSG00000136280.15_CCM2,1125,1377,1775,917,3003,1867,2161,1653,2694,2551,2183,2746
ENSG00000136286.14_MYO1G,0,2,0,0,10,4,10,6,22,17,18,20
ENSG00000136295.14_TTYH3,6240,8979,14456,6736,3827,2571,3784,2152,2374,2215,1749,1671
ENSG00000136297.14_MMD2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136305.11_CIDEB,0.37,5.38,0,28.43,80.87,47.84,104.83,37.83,29.43,32.19,13.6,26.08
ENSG00000136315.4_RP11-84C10.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136319.11_TTC5,522,679,587,506,628.54,442,401,389,818,610,476,727
ENSG00000136327.6_NKX2-8,0,0,0,0,10,10,7,1,16,10,10,5
ENSG00000136352.17_NKX2-1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136367.13_ZFHX2,273.02,417,738,494,165,125,255,194,196,177,122,131
ENSG00000136371.9_MTHFS,540.99,592.75,463.99,441.94,603.53,397.89,410.59,343.51,732.4,596.04,526.71,808.81
ENSG00000136378.14_ADAMTS7,1075,1507,2021,941,781,397,769,501,455,384,443,445
ENSG00000136379.11_ABHD17C,335,376,483,385,552,449,427,404,785,681,583,803
ENSG00000136381.12_IREB2,2490,2939,2964,2888,2911,2213,2953,2310,2660,2147,2171,2960
ENSG00000136383.6_ALPK3,28,47,43,22,13,11,26,26,26,18,23,11
ENSG00000136404.15_TM6SF1,0,2.04,0,1,0,0,0,1.21,0,0,0,0
ENSG00000136425.12_CIB2,31,43,27,32,71,40,81.97,52,92,110,59.98,83
ENSG00000136436.14_CALCOCO2,2459,2751,3289,2916,3388,2973,3113,2689,2872,2545,2270,2831
ENSG00000136444.9_RSAD1,487,611,1127,878,1465,856,912,767,1190,975,900,1257
ENSG00000136448.11_NMT1,5733,6728,9049,6383,7401,5630,6485,5438,7408,6647,6151,7527
ENSG00000136449.13_MYCBPAP,0,0,0,2,0,3,0,0,2,1,0,1
ENSG00000136450.12_SRSF1,7226,8732,8695.41,7967.48,13166.31,10482.26,12094.52,10251.56,14110.08,10861.78,10875.09,13614.04
ENSG00000136451.8_VEZF1,2691,3160,5960,5128,1806,1860,2363,1952,1970,1732,1723,1597
ENSG00000136457.9_CHAD,1,2,28,9,4,3,5,1,1,0,2,0
ENSG00000136463.7_TACO1,580,585,582,452,1795,1189,1351,1120,1930,1587,1514,1976
ENSG00000136478.7_TEX2,2305,2675,2556,2078,3395,2852,3079,2639,3993,3491,3441,3917
ENSG00000136485.14_DCAF7,3796,4557,4988,4105,5956,4644,5765,4595,6286,5899,5369,6408
ENSG00000136487.17_GH2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136488.14_CSH1,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000136490.8_LIMD2,487.2,558.19,509.41,261.86,68.24,39.15,70.35,55.74,123.51,72.3,77.22,102.12
ENSG00000136492.8_BRIP1,1060,1257,1811,2052,591,600,782,720,648,461,529,614
ENSG00000136504.11_KAT7,1083,1326,1838.85,1628,1747,1500,2211,1976,1691.93,1525,1591,1770
ENSG00000136514.2_RTP4,332,390,1064,945,4,4,0,1,7,2,3,8
ENSG00000136518.16_ACTL6A,1734,1940,1803,1529,2298,1925,2169,1843,3870,3187,2378,2994
ENSG00000136521.12_NDUFB5,1795,1808,1455,1336,3265,2746,2667,2238,3842,3190,2568,3144
ENSG00000136522.13_MRPL47,1057,1107,1134,983,2275,1897,1657,1463,4694,3375,2587,3431
ENSG00000136527.17_TRA2B,5760,6750,6014,5235,7646,6663,7823,6399,9326,7397,6667,7250
ENSG00000136531.13_SCN2A,287,361,398,410,81,89,112,100,36,19,21,27
ENSG00000136535.14_TBR1,0,1,2,3,0,9,2,1,0,1,1,0
ENSG00000136536.14_MARCH7,2878.43,3291.56,3167.03,3165.72,3393.42,3301.23,3314.15,2846.04,4969.04,3688.18,3087.08,3581.88
ENSG00000136541.14_ERMN,1,8,4,7,0,0,0,0,0,0,0,0
ENSG00000136542.8_GALNT5,3816,4835,6307,5986,72,88,37,31,70,45,40,23
ENSG00000136546.13_SCN7A,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000136560.13_TANK,1285,1452,1797,1647,1574,1415,1363,1241,1781,1417,1376,1461
ENSG00000136573.12_BLK,11,18,43,17,4,3,16,20,1,3,3,3
ENSG00000136574.17_GATA4,0,0,1,0,154,144,156,133,114,112,102,104
ENSG00000136603.13_SKIL,3451,4239,3607,3762,1231,1040,1298,1156,1539,1136,998,1263
ENSG00000136628.17_EPRS,4991,6254,7229,6841,18813,14405,13075,11349,14257,11757,10712,14061
ENSG00000136630.12_HLX,129,177,174,72,69,71,88,49,19,25,19,15
ENSG00000136631.12_VPS45,1225,1510,1610,1470,1684,1313,1466,1231,1210,950,1003,1253
ENSG00000136634.5_IL10,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136636.12_KCTD3,1770,2151,1923,1708,4406,3243,3592,3198,3265,2455,2263,2895
ENSG00000136643.11_RPS6KC1,1175,1360,1657,1576,1348,1189,1074,831,1728,1245,1326,1431
ENSG00000136682.14_CBWD2,1081.32,1038.55,1076.5,1109.82,1181.77,964.37,1151.06,940.55,870.26,597.51,656.64,792.94
ENSG00000136688.10_IL36G,0,0,6,3,1,1,1,4,0,0,0,0
ENSG00000136689.18_IL1RN,17,19,41,24,29,37,3,2,267,247,93,93
ENSG00000136694.8_IL36A,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136695.14_IL36RN,0,0,0,0,0,0,0,0,2,3,1,0
ENSG00000136696.10_IL36B,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136697.12_IL1F10,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136698.8_CFC1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136699.19_SMPD4,2270.11,2986.18,4608.31,2914.09,5116.06,3926,5854.09,4668.16,5239,4937.16,4203.05,4486.07
ENSG00000136709.11_WDR33,1491,1756,2523,1945,4322,3015,3517,2873,3944,3205,2890,3586
ENSG00000136710.9_CCDC115,1039,1203,1181,784,1258,958,768,681,1521,1204,948,1116
ENSG00000136715.17_SAP130,1179,1501,2421,1789,1788,1572,2349,1951,1676,1612,1480,1647
ENSG00000136717.14_BIN1,2304,2830,3550,1958,1645,1034,1800,1402,568,476,703,784
ENSG00000136718.9_IMP4,1470,1653,2037,1334,4901,3335,3896,2978,4624,4145,3571,4079
ENSG00000136720.6_HS6ST1,656,841,915,504,1966,1209,1347,1048,1715,1602,1180,1449
ENSG00000136731.12_UGGT1,3470,4711,5194,4838,9574,8572,10196,8688,6347,5398,5626,7165
ENSG00000136732.14_GYPC,16,8,58,35,3,4,2,8,0,0,0,1
ENSG00000136738.14_STAM,1367,1622,1675,1569,1088,987,1037,906,1317,1200,1083,1084
ENSG00000136750.11_GAD2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136754.16_ABI1,3050,3569.56,3519,3048.82,1358,1316.46,1279,1095,1719,1372.36,1223.37,1417
ENSG00000136758.18_YME1L1,6962.85,8127.47,8545.44,7846.92,6478.47,5374.49,5665.07,4841.62,6086.85,4982.48,5009.01,6075.49
ENSG00000136770.10_DNAJC1,1801,2024,1860,1621,1380,1080,929,690,833,634,757,884
ENSG00000136783.9_NIPSNAP3A,1672,1845,1376,1204,1108,850,666,539,1405,930,1004,1356
ENSG00000136802.11_LRRC8A,6472,8331,5157,3018,5912,4331,4677,3499,5138,5112,4313,4479
ENSG00000136807.11_CDK9,1363,1745,2127,1315,3119,2149,2347,1674,2479,2190,1975,2152
ENSG00000136810.12_TXN,5550,5738,4601,4257,25491,24059,16373,14260,28182,20435,19133,23996
ENSG00000136811.16_ODF2,1298,1658,1531,1272,4590,3450,5928,5034,2809,2745,2753,3119
ENSG00000136813.14_KIAA0368,4291,4928,5814,5653,9432,7607,8476,7518,8303,7268,7486,9461
ENSG00000136816.15_TOR1B,803,887,970,819,3079,2315,2382,1983,2458,2033,2047,2586
ENSG00000136819.14_C9orf78,1400,1726,1565,1379,5257,4337,4437,3803,4409,3496,3631,3938
ENSG00000136824.18_SMC2,1292,1516,1519,1565,5114,4821,4857,4606,6048,4062,4253,5122
ENSG00000136826.14_KLF4,25,23,44,28,773,540,431,397,557,489,547,589
ENSG00000136827.11_TOR1A,1925,2134,2702,1934,5448,4665,5125,4193,4315,3582,3586,4348
ENSG00000136828.18_RALGPS1,154,197,220,158,216,169,228,173,81,84,69,93
ENSG00000136830.11_FAM129B,9371,12895,13464,7347,28941,15624,15284,10933,19814,16984,15637,19307
ENSG00000136834.3_OR1J1,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000136839.1_OR13C9,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136840.18_ST6GALNAC4,169,191,228,77,3108,1754,2058,1312,1468,1278,1208,1245
ENSG00000136842.13_TMOD1,5281.76,6094.7,7709.08,6139.61,174.53,108.99,189.47,115.67,38.77,60.34,51.52,88.76
ENSG00000136848.16_DAB2IP,1740,2328,2285,1213,1378,980,1002,787,2660,2375,1880,1895
ENSG00000136854.17_STXBP1,1175.35,1360.48,1288.3,813.42,2597,2247,2951.64,2164.71,986.82,894,1459,1372.13
ENSG00000136856.17_SLC2A8,300,336,413,219,369,212,234,192,303,228,269,245
ENSG00000136859.9_ANGPTL2,384,497,611,398,5,0,9,5,2,3,8,4
ENSG00000136861.17_CDK5RAP2,1477,1828,2389,2073,2436,2064,2479,2126,3727,3198,3007,3576
ENSG00000136866.13_ZFP37,122,195,137,142,265,202,227,174,322,210,214,295
ENSG00000136867.10_SLC31A2,191.71,239.15,332.18,182.13,1247.1,786.84,556.95,472.06,974.17,810.61,837.58,1474.67
ENSG00000136868.10_SLC31A1,1551,1722,2180,1809,4701,3703,3449,2995,3505,3175,3487,4461
ENSG00000136869.13_TLR4,1311,1491,1888,1747,1269,1067,1059,959,784,660,919,1103
ENSG00000136870.10_ZNF189,732,855,963,899,1153,1066,1036,877,1385,970,909,1136
ENSG00000136872.17_ALDOB,0,0,4,0,1,1,1,2,2,1,2,2
ENSG00000136874.10_STX17,674,708,835,815,862,623,616,560,932,786,697,799
ENSG00000136875.12_PRPF4,1277.16,1310.33,1302.62,1036.3,5416.84,4197.03,4955.83,4105.1,5184.2,4784.74,4709.93,6482.05
ENSG00000136877.14_FPGS,1909,2180,2826,1626,5619,4037,3699,2618,4555,4071,3739,4375
ENSG00000136878.12_USP20,334,540,750,425,2099,1161,1397,1141,1179,968,943,1006
ENSG00000136881.11_BAAT,0,0,0,0,32,29,25,35,14,3,17,7
ENSG00000136883.12_KIF12,65,77,114,59,1,0,0,1,0,0,0,0
ENSG00000136888.6_ATP6V1G1,3454,4114,3784,2788,5842,5178,3818,3273,9589,6729,6153,7694
ENSG00000136891.13_TEX10,1480,1669,2405,2156,2285,1986,2065,1690,2771,2245,2209,2760
ENSG00000136895.18_GARNL3,211,207,190,167,108,75,122,116,83,42,40,59
ENSG00000136897.7_MRPL50,678,652,697,704,3579,3186,2379,2024,4483,3167,2959,3542
ENSG00000136908.17_DPM2,858,1055,1451,974,2882,1915,2409,1983,2161,2166,1981,2496
ENSG00000136918.7_WDR38,0,0,0,0,2,2,5,2,0,0,0,1
ENSG00000136925.14_TSTD2,734.24,825.3,1029.92,940.39,1664.47,1272.01,1253.53,1097.33,1180.23,1062.66,1018.48,1429.24
ENSG00000136928.4_GABBR2,7,3,4,3,4,9,11,7,1,0,4,5
ENSG00000136929.12_HEMGN,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000136930.12_PSMB7,3645,3669,4504,3633,15126,9649,9293,7787,9224,7738,7883,11705
ENSG00000136931.9_NR5A1,0,0,0,0,2,0,2,3,0,1,0,0
ENSG00000136932.13_C9orf156,371,367,433,345,836,800,766,598,800,641,679,704
ENSG00000136933.16_RABEPK,631,646,650,518,3206,2278,2120,1804,3086,2513,2480,3428
ENSG00000136935.13_GOLGA1,496.37,706.9,802.4,737.94,2385.14,2078.8,2398.69,2096.68,2101.58,1823.88,1595.41,1645.15
ENSG00000136936.10_XPA,329,382,357,345,333,280,320,312,275,254,221,256
ENSG00000136937.12_NCBP1,2008,2360,2207,2031,7353,5867,6582,5760,8082,6687,6819,8978
ENSG00000136938.8_ANP32B,2874,3460,3299,2911,11925,9276,13007,10616,9251,8482,7209,7964
ENSG00000136939.1_OR1L4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136940.13_PDCL,850,974,1115,1029,1031,743,790,667,1700,1184,1131,1528
ENSG00000136942.14_RPL35,9414,9245,7883,5335,51530,35491,33221,24570,48284,40807,33989,30770
ENSG00000136943.10_CTSV,202,225,330,328,1197,876,752,672,1084,857,704,1081
ENSG00000136944.17_LMX1B,0,0,0,1,188,126,178,152,66,61,33,32
ENSG00000136950.13_ARPC5L,810,949,985,941,3346,2127,2568,2162,2501,2374,2047,3025
ENSG00000136960.12_ENPP2,0,10,2,5,661,609,839,721,88,84,179,232
ENSG00000136982.5_DSCC1,247,252,187,183,831,748,836,758,1925,1425,1279,1592
ENSG00000136986.9_DERL1,2353,2726,3419,3035,6936.94,5350.66,6408,5188,7023,6189,5997,7008
ENSG00000136997.14_MYC,1862,2467,1515,968,11923,9076,13145,9788,18789,17376,14249,12963
ENSG00000136999.4_NOV,590,755,752,502,661,682,777,723,773,715,838,806
ENSG00000137033.11_IL33,0,1,1,0,33,18,5,11,14,19,14,11
ENSG00000137038.7_TMEM261,862,878,693,501,3407,1887,1659,1273,2631,2114,1759,2757
ENSG00000137040.9_RANBP6,1152,1217,1132,1111,2080,1643,1989,1682,2578,1711,1690,2411
ENSG00000137054.15_POLR1E,484,543,296,308,3780,2320,2655,2339,2658,2394,2050,3126
ENSG00000137055.14_PLAA,2258,2653,2293,2260,3704,3329,3685,3158,3418,2967,2784,3271
ENSG00000137070.17_IL11RA,101.7,142,240,177.22,156,95.04,216,189,89,75,61,107.14
